# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
  11435.0000      5.266886   1
  11448.0000     -5.217594  -1
  11462.0000      5.135105   1
  11475.0000     -5.086952  -1
  11489.0000      5.010797   1
  11502.0000     -5.004594  -1
  11517.0000      5.001216   1
  11529.0000     -5.045663  -1
  11544.0000      5.132676   1
  11556.0000     -5.164398  -1
  11571.0000      5.263071   1
  11584.0000     -5.280116  -1
  11598.0000      5.277379   1
  11611.0000     -5.280794  -1
  11626.0000      5.196560   1
  11638.0000     -5.143823  -1
  11653.0000      5.061105   1
  11666.0000     -4.997250  -1
  11680.0000      5.002139   1
  11693.0000     -5.015572  -1
  11707.0000      5.086758   1
  11720.0000     -5.147184  -1
  11734.0000      5.220168   1
  11747.0000     -5.277327  -1
  11762.0000      5.288135   1
  11774.0000     -5.283020  -1
  11789.0000      5.239236   1
  11802.0000     -5.160129  -1
  11816.0000      5.102219   1
  11829.0000     -5.056041  -1
  11843.0000      5.007933   1
  11856.0000     -5.012946  -1
  11870.0000      5.033539   1
  11883.0000     -5.076516  -1
  11897.0000      5.144586   1
  11911.0000     -5.183867  -1
  11925.0000      5.260427   1
  11938.0000     -5.279411  -1
  11952.0000      5.279743   1
  11965.0000     -5.242624  -1
  11979.0000      5.161963   1
  11992.0000     -5.098703  -1
  12006.0000      5.019264   1
  12020.0000     -4.969169  -1
  12033.0000      4.984569   1
  12047.0000     -5.039295  -1
  12060.0000      5.083768   1
  12074.0000     -5.182690  -1
  12088.0000      5.229957   1
  12101.0000     -5.274048  -1
  12115.0000      5.288512   1
  12128.0000     -5.224643  -1
  12142.0000      5.192497   1
  12156.0000     -5.121242  -1
  12169.0000      5.042077   1
  12183.0000     -5.025429  -1
  12196.0000      4.971952   1
  12210.0000     -5.016555  -1
  12223.0000      5.029366   1
  12237.0000     -5.090567  -1
  12251.0000      5.174595   1
  12265.0000     -5.245311  -1
  12278.0000      5.282418   1
  12292.0000     -5.286775  -1
  12305.0000      5.255089   1
