# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
  10945.0000      5.104921   1
  10959.0000     -5.029381  -1
  10972.0000      5.009400   1
  10986.0000     -4.966064  -1
  10999.0000      5.012418   1
  11013.0000     -5.048643  -1
  11026.0000      5.108779   1
  11040.0000     -5.200986  -1
  11054.0000      5.239841   1
  11067.0000     -5.277123  -1
  11081.0000      5.266704   1
  11094.0000     -5.204106  -1
  11108.0000      5.168675   1
  11122.0000     -5.086993  -1
  11135.0000      5.027400   1
  11149.0000     -4.993154  -1
  11163.0000      4.972473   1
  11176.0000     -5.011389  -1
  11190.0000      5.079009   1
  11203.0000     -5.135059  -1
  11217.0000      5.212032   1
  11230.0000     -5.257952  -1
  11244.0000      5.261131   1
  11257.0000     -5.255322  -1
  11272.0000      5.205208   1
  11285.0000     -5.158358  -1
  11299.0000      5.083830   1
  11312.0000     -5.026830  -1
  11326.0000      5.000346   1
  11339.0000     -4.993972  -1
  11353.0000      5.040515   1
  11366.0000     -5.099961  -1
  11381.0000      5.161475   1
  11393.0000     -5.238086  -1
  11408.0000      5.286522   1
  11420.0000     -5.264974  -1
  11435.0000      5.258406   1
  11448.0000     -5.209318  -1
  11462.0000      5.126490   1
  11475.0000     -5.078418  -1
  11489.0000      5.002044   1
  11502.0000     -4.995877  -1
  11517.0000      4.992861   1
  11529.0000     -5.036844  -1
  11544.0000      5.124056   1
  11556.0000     -5.155527  -1
  11571.0000      5.254284   1
  11584.0000     -5.271543  -1
  11598.0000      5.268517   1
  11611.0000     -5.272086  -1
  11626.0000      5.187982   1
  11638.0000     -5.134992  -1
  11653.0000      5.052426   1
  11666.0000     -4.988652  -1
  11680.0000      4.993360   1
  11693.0000     -5.006812  -1
  11707.0000      5.077909   1
  11720.0000     -5.138357  -1
  11734.0000      5.211316   1
  11747.0000     -5.268481  -1
  11762.0000      5.279348   1
  11774.0000     -5.274182  -1
  11789.0000      5.230412   1
  11802.0000     -5.151375  -1
  11816.0000      5.093392   1
  11829.0000     -5.047223  -1
  11843.0000      4.999128   1
  11856.0000     -5.004164  -1
  11870.0000      5.024789   1
  11883.0000     -5.067847  -1
  11897.0000      5.135940   1
  11911.0000     -5.175075  -1
  11925.0000      5.251649   1
  11938.0000     -5.270639  -1
  11952.0000      5.271026   1
  11965.0000     -5.233907  -1
  11979.0000      5.153334   1
  11992.0000     -5.090127  -1
  12006.0000      5.010739   1
  12020.0000     -4.960433  -1
  12033.0000      4.976173   1
  12047.0000     -5.030703  -1
  12060.0000      5.075543   1
  12074.0000     -5.174299  -1
  12088.0000      5.221410   1
  12101.0000     -5.265836  -1
  12115.0000      5.280121   1
  12128.0000     -5.216623  -1
  12142.0000      5.184297   1
